"lga","acc_year","acc_month","acc_nos","acc_vehicles","acc_persons","acc_cyclists","acc_females","acc_males","acc_deaths","acc_injs","acc_avgage","acc_avgsev","acc_lat","acc_long","acc_citydist","acc_date","acc_genderbal"
"West Wimmera","2006","1","1","1","1","0","0","1","0","1","18.0000","2.0000","-36.826095315057685","141.15932665266357","353.5233748216885","15/01/2006","1"
"Glenelg","2006","1","9","15","25","0","11","12","0","17","37.0435","1.4444","-38.123206028405406","141.50223327027942","305.06809821229314","15/01/2006","1"
"Hindmarsh","2006","1","1","1","2","0","1","1","0","2","36.5000","1.0000","-36.491796928099234","141.6506898110351","327.9938887089208","15/01/2006","0"
"Southern Grampians","2006","1","3","5","6","0","2","4","0","3","49.3333","1.0000","-37.59701055535191","142.00161511876806","261.3667384316504","15/01/2006","2"
"Mildura","2006","1","15","21","40","0","10","29","0","23","30.0513","1.3333","-34.48830958149196","142.0735510454268","451.3973540079215","15/01/2006","19"
"Horsham","2006","1","7","9","17","0","7","10","1","14","20.4118","2.0000","-36.70171976137608","142.2379602921487","270.7286440924887","15/01/2006","3"
"Moyne","2006","1","4","5","6","0","3","2","0","5","33.6000","1.5000","-38.33245572523382","142.42971643551556","228.91362444686695","15/01/2006","-1"
"Warrnambool","2006","1","4","6","9","0","4","5","0","4","37.5556","2.0000","-38.37527606856833","142.4849919760275","225.4485887622002","15/01/2006","1"
"Ararat","2006","1","2","3","4","0","3","1","0","3","37.0000","1.0000","-37.44235572325586","142.8065087509317","194.076119919277","15/01/2006","-2"
"Northern Grampians","2006","1","4","4","10","0","3","5","0","6","16.3333","1.0000","-36.92938691747727","142.89535245859057","207.21029866308223","15/01/2006","2"
"Buloke","2006","1","4","6","6","0","1","5","1","3","47.8333","1.7500","-35.643346304187475","143.00992918826128","297.2914155943284","15/01/2006","4"
"Corangamite","2006","1","7","8","9","0","6","3","0","8","29.5556","1.4286","-38.37088818931182","143.01377194017485","181.28797150998858","15/01/2006","-3"
"Swan Hill","2006","1","7","8","16","0","3","12","0","9","26.5333","1.5714","-35.35062832890376","143.4751019989024","304.1738402016956","15/01/2006","9"
"Pyrenees","2006","1","2","2","4","0","2","2","0","3","40.0000","1.0000","-37.521859616222926","143.56722697418735","126.79466196375702","15/01/2006","0"
"Colac-Otway","2006","1","6","10","13","1","4","9","2","8","36.6923","1.5000","-38.505851294385764","143.61485053234347","140.62767197038045","15/01/2006","5"
"Central Goldfields","2006","1","4","5","7","0","1","5","0","5","67.3333","1.5000","-37.03141908619588","143.70252071874725","140.99546370284725","15/01/2006","4"
"Loddon","2006","1","6","7","12","0","4","8","0","11","43.6667","1.5000","-36.540419389390095","143.8043380815641","174.6343919311079","15/01/2006","4"
"Ballarat","2006","1","12","25","32","3","15","16","0","17","32.7188","1.1667","-37.55489218876161","143.84911994935564","101.88396663926373","15/01/2006","1"
"Golden Plains","2006","1","3","4","5","0","1","4","0","4","50.8000","1.0000","-37.842234901370894","143.85301997010677","97.29359774816308","15/01/2006","3"
"Gannawarra","2006","1","3","3","8","0","0","8","1","7","28.6250","2.0000","-35.76958621222301","144.01638365348455","242.21921250724134","15/01/2006","8"
"Surf Coast","2006","1","19","24","30","1","7","22","0","23","32.5667","1.4211","-38.40522581094597","144.0943573463899","100.39883791407017","15/01/2006","15"
"Hepburn","2006","1","3","4","6","0","1","5","0","3","37.8333","1.6667","-37.34304221606346","144.18583672805423","85.92300254727657","15/01/2006","4"
"Mount Alexander","2006","1","1","1","2","0","0","1","0","1","34.0000","2.0000","-37.0645627788323","144.21701598368577","105.94313961692967","15/01/2006","1"
"Greater Bendigo","2006","1","15","21","33","0","9","23","0","22","27.5938","1.4000","-36.78573944464318","144.2995386774336","128.2680374921807","15/01/2006","14"
"Moorabool","2006","1","6","9","14","0","7","6","0","10","38.6429","1.5000","-37.62900650150434","144.3057159161152","61.07588562824812","15/01/2006","-1"
"Greater Geelong","2006","1","40","79","125","4","59","61","1","52","31.8852","1.4250","-38.14766216317131","144.37250868384248","63.56559671573219","15/01/2006","2"
"Macedon Ranges","2006","1","5","5","10","0","7","2","0","9","23.3000","1.4000","-37.26075544522051","144.56273544822662","70.66659292103265","15/01/2006","-5"
"Melton","2006","1","10","14","22","1","8","13","2","11","32.4286","1.6000","-37.675912399799095","144.5992180265911","35.19014209598041","15/01/2006","5"
"Wyndham","2006","1","28","48","56","0","19","35","2","34","28.3636","1.3571","-37.88004697645857","144.69398143012694","24.544591273931832","15/01/2006","16"
"Brimbank","2006","1","29","48","67","2","22","43","0","31","29.5758","1.4483","-37.74646071499167","144.80164257846724","15.755276860959835","15/01/2006","21"
"Hobsons Bay","2006","1","15","29","36","1","12","20","0","19","33.4167","1.4000","-37.8521001614662","144.83601192688536","11.75288662311927","15/01/2006","8"
"Campaspe","2006","1","10","17","29","1","10","19","0","20","31.1034","1.5000","-36.31473862744464","144.84190593681652","166.88879529249792","15/01/2006","9"
"Maribyrnong","2006","1","19","30","42","2","10","25","0","23","37.5946","1.4737","-37.79320725472298","144.88096420773505","7.2856116761860195","15/01/2006","15"
"Hume","2006","1","21","35","48","0","19","24","0","27","31.8696","1.5714","-37.646582341922986","144.884442953023","19.628423214678495","15/01/2006","5"
"Moonee Valley","2006","1","21","41","53","2","22","29","0","29","35.1887","1.2381","-37.74671520922936","144.89529252042348","9.2860492811525","15/01/2006","7"
"Moreland","2006","1","37","71","116","5","42","67","2","49","31.3186","1.3243","-37.74177307335947","144.95156801081504","7.9157804640034115","15/01/2006","25"
"Melbourne","2006","1","81","155","247","10","98","131","0","104","30.8277","1.3457","-37.81333028601007","144.95854512205236","0.16141868004378732","15/01/2006","33"
"Port Phillip","2006","1","24","42","55","5","18","30","0","25","32.3137","1.2917","-37.85664385893386","144.97004994432834","4.969854612600318","15/01/2006","12"
"Yarra","2006","1","18","44","60","3","24","34","0","20","33.1724","1.0556","-37.809114371274845","144.9970334266034","3.262913390988593","15/01/2006","10"
"Darebin","2006","1","23","44","58","1","20","34","0","29","34.3636","1.3043","-37.73708999454514","145.0071875276316","9.36224644141348","15/01/2006","14"
"Mornington Peninsula","2006","1","47","78","118","8","41","67","1","74","35.3158","1.6596","-38.30181957290543","145.0122786462856","54.58571641229289","15/01/2006","26"
"Bayside","2006","1","15","30","30","4","13","14","0","18","33.7586","1.6000","-37.93984101679498","145.01960942018968","15.076237744420805","15/01/2006","1"
"Stonnington","2006","1","25","51","70","3","26","35","0","30","35.2727","1.3600","-37.85766862640505","145.0237759585855","7.502343111375592","15/01/2006","9"
"Glen Eira","2006","1","29","55","68","1","32","33","1","40","36.8788","1.3448","-37.89793598219226","145.04224608706036","11.912204310433712","15/01/2006","1"
"Whittlesea","2006","1","22","44","57","2","23","30","0","26","27.9286","1.2727","-37.64427815607571","145.05073281916066","20.344835680840657","15/01/2006","7"
"Mitchell","2006","1","17","22","37","0","11","26","1","25","31.2162","1.6471","-37.183860462261805","145.05343517148575","70.39928613568476","15/01/2006","15"
"Boroondara","2006","1","30","64","85","10","30","50","0","41","30.7349","1.2667","-37.813241387246016","145.06296940381907","9.031680462446298","15/01/2006","20"
"Banyule","2006","1","21","40","45","1","16","27","0","27","38.0930","1.4286","-37.74069630685584","145.0694184897361","12.498074568975065","15/01/2006","11"
"Kingston","2006","1","37","70","91","5","39","49","0","49","36.2727","1.4324","-38.000559848245665","145.09341666040606","23.944334151268112","15/01/2006","10"
"Monash","2006","1","33","59","82","1","26","54","0","47","31.1975","1.4242","-37.89946360447297","145.1479416120418","19.10521989927854","15/01/2006","28"
"Whitehorse","2006","1","31","57","74","3","23","44","0","37","35.7183","1.3226","-37.828121366417","145.14960665973976","16.729314133171158","15/01/2006","21"
"Frankston","2006","1","31","57","84","2","30","48","0","41","31.5190","1.6129","-38.13959396352832","145.15051923722913","40.001925449415474","15/01/2006","18"
"Manningham","2006","1","17","36","46","0","20","26","1","25","38.8043","1.5294","-37.775045336041735","145.172573215913","19.12682406087284","15/01/2006","6"
"Greater Dandenong","2006","1","43","89","132","1","51","74","1","56","31.0155","1.2326","-37.9786437373933","145.1836461366547","26.931489175302897","15/01/2006","23"
"Nillumbik","2006","1","9","14","15","0","4","10","1","10","32.7333","1.4444","-37.66054554811479","145.21048027040746","27.758804797432866","15/01/2006","6"
"Knox","2006","1","29","53","82","4","29","48","0","41","32.8987","1.4138","-37.88288844550412","145.2608939113503","27.537019499786922","15/01/2006","19"
"Maroondah","2006","1","30","56","82","0","42","39","0","39","34.5926","1.3333","-37.81280240263651","145.2691920345963","27.147304605717807","15/01/2006","-3"
"Casey","2006","1","55","99","142","3","59","76","0","74","32.0429","1.4909","-38.05036402426765","145.28346075535384","38.76547724285707","15/01/2006","17"
"Greater Shepparton","2006","1","19","31","50","1","19","26","1","33","30.6531","1.2105","-36.40015585056779","145.3518112360931","160.85454429700923","15/01/2006","7"
"Strathbogie","2006","1","7","10","17","0","8","9","1","13","42.2353","1.8571","-36.79210748517891","145.38114935405108","119.43046985989768","15/01/2006","1"
"Bass Coast","2006","1","12","21","37","0","16","21","0","18","32.7568","1.4167","-38.52906975843058","145.44888371246785","90.39649742094429","15/01/2006","5"
"Yarra Ranges","2006","1","49","77","115","2","50","61","0","76","29.1913","1.3265","-37.7724465946124","145.46268294041312","44.38230454357956","15/01/2006","11"
"Cardinia","2006","1","22","28","42","0","18","20","0","28","32.0250","1.5909","-38.01296816291103","145.4955429726426","51.98220257140964","15/01/2006","2"
"Murrindindi","2006","1","15","18","24","0","10","14","0","20","34.8750","1.5333","-37.36265747102468","145.51446136349557","69.92122120969154","15/01/2006","4"
"Moira","2006","1","9","11","16","0","7","8","2","9","31.5625","1.8889","-36.04055699378419","145.6901542205044","207.45340150379832","15/01/2006","1"
"Benalla","2006","1","6","6","9","0","2","5","0","7","26.8571","1.3333","-36.63674823837318","145.95979937050362","157.89035641864328","15/01/2006","3"
"South Gippsland","2006","1","5","9","18","0","7","11","0","11","26.1111","1.4000","-38.649974488283945","145.98742519074116","129.30403749127038","15/01/2006","4"
"Baw Baw","2006","1","14","17","26","0","11","15","1","19","36.8462","1.5000","-38.05634233216581","146.0038937108112","95.46289459880914","15/01/2006","4"
"Mansfield","2006","1","6","7","12","0","3","8","0","8","21.7500","1.3333","-37.179850225225735","146.24925697120958","133.73073951173149","15/01/2006","5"
"Wangaratta","2006","1","9","13","19","0","9","9","0","12","32.5000","1.5556","-36.43406684825514","146.3732693325784","197.96998032985","15/01/2006","0"
"Latrobe","2006","1","14","21","29","1","10","18","0","17","28.5714","1.2857","-38.20793021131551","146.3818722370011","132.08321457087789","15/01/2006","8"
"Indigo","2006","1","2","2","5","1","4","1","1","4","32.0000","2.5000","-36.37353372074576","146.8613242377187","232.45630689394324","15/01/2006","-3"
"Wodonga","2006","1","3","5","8","0","3","5","0","6","33.3750","1.0000","-36.10678069854251","146.88941118991912","255.64858909123677","15/01/2006","2"
"Alpine","2006","1","5","6","8","0","2","5","0","6","37.4286","1.6000","-36.752600966932945","146.9152797206555","209.30978752801624","15/01/2006","3"
"Wellington","2006","1","16","19","23","2","8","14","0","18","34.8261","1.1875","-37.98844878683262","146.9913475494857","179.2848066096795","15/01/2006","6"
"East Gippsland","2006","1","17","22","36","2","16","20","0","27","36.6111","1.2941","-37.634422558778816","147.78943847484695","249.61914886623194","15/01/2006","4"
"Glenelg","2006","2","3","3","4","0","1","3","0","4","41.0000","1.6667","-38.14183205220132","141.53024234630064","302.8344604477566","15/02/2006","2"
"Hindmarsh","2006","2","2","2","4","0","1","3","0","4","43.0000","1.5000","-36.13436072492999","141.6724235922984","346.5593353370388","15/02/2006","2"
"Southern Grampians","2006","2","5","6","10","0","5","5","1","5","33.4000","2.0000","-37.66499441485104","142.09193256550583","252.73823485403489","15/02/2006","0"
"Mildura","2006","2","15","25","59","0","20","26","6","35","26.5435","1.5333","-34.3381614705547","142.1222229380483","462.87919703446687","15/02/2006","6"
"Horsham","2006","2","7","10","12","1","4","7","0","9","38.7273","1.4286","-36.68602417257987","142.21067720495557","273.6959387517252","15/02/2006","3"
"Northern Grampians","2006","2","2","2","3","0","2","1","0","3","46.0000","1.0000","-37.10560561841105","142.42277724321013","237.35036498531545","15/02/2006","-1"
"Warrnambool","2006","2","5","8","14","0","7","5","0","8","34.6667","1.8000","-38.38075271849463","142.49376553429727","224.87363989113217","15/02/2006","-2"
"Moyne","2006","2","5","7","9","0","3","6","1","6","32.1111","1.4000","-38.17486587136936","142.5201389769682","217.5732199299659","15/02/2006","3"
"Corangamite","2006","2","3","4","7","0","4","3","0","7","35.8571","1.3333","-38.44121561134488","142.99301128360514","185.71703123563927","15/02/2006","-1"
"Pyrenees","2006","2","2","3","7","0","4","3","0","2","17.5714","1.0000","-37.353583615759675","143.52586319344562","136.30460828201527","15/02/2006","-1"
"Swan Hill","2006","2","4","6","10","1","3","6","0","5","31.6000","1.2500","-35.348748612592836","143.52828040514257","302.32503466838995","15/02/2006","3"
"Colac-Otway","2006","2","5","5","12","0","4","8","1","8","42.5000","1.8000","-38.53374549013466","143.64312918024584","140.29730881941413","15/02/2006","4"
"Central Goldfields","2006","2","3","4","5","0","0","5","0","3","43.2000","1.3333","-37.07106691501374","143.7505536936208","134.91888584413127","15/02/2006","5"
"Loddon","2006","2","2","2","5","0","1","4","0","4","23.6000","1.5000","-36.61260501974958","143.82948159363252","166.82309436704412","15/02/2006","3"
"Ballarat","2006","2","29","52","95","1","38","50","2","46","27.0989","1.5517","-37.55752888178502","143.83766804588646","102.76840946675605","15/02/2006","12"
"Gannawarra","2006","2","4","5","6","0","1","5","0","4","38.3333","1.0000","-35.6715538487718","143.84945238367374","257.8228821428324","15/02/2006","4"
"Golden Plains","2006","2","4","6","7","0","2","5","1","5","38.2857","1.7500","-37.85025796000232","143.96788957493754","87.24485131196819","15/02/2006","3"
"Hepburn","2006","2","4","5","9","0","4","5","0","5","25.8889","1.5000","-37.36881137649335","144.04888338909416","94.24553978929431","15/02/2006","1"
"Mount Alexander","2006","2","3","4","8","0","1","7","1","7","39.7500","2.0000","-37.02027187517185","144.14761634422175","113.63139422941487","15/02/2006","6"
"Surf Coast","2006","2","8","11","18","1","11","6","0","14","36.6471","1.6250","-38.3316093035546","144.16165983790984","90.64051092965967","15/02/2006","-5"
"Moorabool","2006","2","3","5","5","0","1","4","0","3","24.2000","1.3333","-37.627606170476305","144.28011662491915","63.25340081758655","15/02/2006","3"
"Greater Geelong","2006","2","37","66","93","7","36","51","2","47","35.3297","1.4865","-38.12158222998757","144.36668743591443","62.34349788930626","15/02/2006","15"
"Greater Bendigo","2006","2","10","16","17","1","7","9","0","12","37.5000","1.3000","-36.77162661877325","144.36689422592104","127.09565783647714","15/02/2006","2"
"Macedon Ranges","2006","2","7","12","22","0","8","13","0","11","31.0000","1.1429","-37.318453309029046","144.64671593874195","61.504472296408814","15/02/2006","5"
"Melton","2006","2","10","21","30","2","12","18","0","14","36.2000","1.6000","-37.719143850122244","144.67766886648153","26.919774206906016","15/02/2006","6"
"Wyndham","2006","2","26","45","57","4","20","31","1","31","26.0909","1.3462","-37.88568807525262","144.69277055383833","24.842965733989992","15/02/2006","11"
"Brimbank","2006","2","30","59","80","0","32","44","0","46","29.6835","1.4333","-37.755237031423796","144.81290117085612","14.429453602762566","15/02/2006","12"
"Hobsons Bay","2006","2","9","16","18","1","3","14","0","11","40.1765","1.4444","-37.84354285760404","144.84653905555012","10.554200337908235","15/02/2006","11"
"Campaspe","2006","2","8","12","17","0","6","11","0","10","29.1765","1.6250","-36.23480326933734","144.86670806005503","175.64308963889886","15/02/2006","5"
"Hume","2006","2","31","58","85","2","30","49","1","43","28.5556","1.3226","-37.64138320286951","144.87454493605784","20.47713232297161","15/02/2006","19"
"Maribyrnong","2006","2","17","29","43","1","10","23","0","21","32.8684","1.5294","-37.803111330676806","144.889755836386","6.2751198798294165","15/02/2006","13"
"Moonee Valley","2006","2","20","37","54","0","27","18","0","28","33.1837","1.3500","-37.7454021617778","144.9005526190285","9.12884678198095","15/02/2006","-9"
"Moreland","2006","2","35","70","100","4","38","57","0","41","29.8454","1.1429","-37.737937237842814","144.95496226949675","8.318760327111653","15/02/2006","19"
"Melbourne","2006","2","63","116","149","17","46","87","0","73","31.2746","1.2540","-37.807869688823956","144.95582925619624","0.6524448575473994","15/02/2006","41"
"Port Phillip","2006","2","28","56","81","10","19","54","0","34","28.4744","1.2857","-37.850393389093604","144.9689262638477","4.26835947738955","15/02/2006","35"
"Yarra","2006","2","25","49","62","11","22","32","1","27","34.8947","1.4400","-37.802128412118236","144.99045305004248","2.9065849145227918","15/02/2006","10"
"Darebin","2006","2","21","42","57","1","21","32","1","22","29.1296","1.4286","-37.745270291456094","145.0110378433471","8.723915901495955","15/02/2006","11"
"Bayside","2006","2","20","38","47","9","13","28","0","25","34.2273","1.2500","-37.928749528376876","145.01419910020076","13.754927166105176","15/02/2006","15"
"Stonnington","2006","2","25","51","58","2","30","19","0","31","34.7547","1.2400","-37.854647134352625","145.02818496617186","7.58360775059578","15/02/2006","-11"
"Glen Eira","2006","2","31","60","83","1","45","33","1","44","41.0759","1.3226","-37.897330978875125","145.03627555129162","11.547670147558547","15/02/2006","-12"
"Whittlesea","2006","2","13","23","31","2","9","21","0","14","39.9667","1.3846","-37.66501825378775","145.03765571186722","17.77277842584199","15/02/2006","12"
"Boroondara","2006","2","28","59","71","5","33","33","0","33","37.9697","1.3214","-37.82456680489254","145.06116820664477","8.971142760529975","15/02/2006","0"
"Mornington Peninsula","2006","2","25","42","61","0","24","35","2","29","35.4746","1.5600","-38.3093595775491","145.07062551588268","56.073368146804825","15/02/2006","11"
"Mitchell","2006","2","11","16","45","0","22","23","3","12","26.2000","1.9091","-37.24760794469344","145.07984149581134","63.70854541543494","15/02/2006","1"
"Banyule","2006","2","28","50","68","1","25","36","1","43","31.6984","1.4286","-37.7263174945436","145.08141388931622","14.34290603128225","15/02/2006","11"
"Kingston","2006","2","33","77","87","4","42","37","1","40","31.7442","1.4242","-37.997767697014766","145.09886576687344","23.913696270632936","15/02/2006","-5"
"Monash","2006","2","40","78","111","4","40","55","0","47","32.4706","1.5500","-37.89499981009069","145.13990172692314","18.24584894886071","15/02/2006","15"
"Frankston","2006","2","23","35","50","4","18","32","0","30","32.2000","1.5217","-38.133211409049956","145.14002137380834","38.977122810185456","15/02/2006","14"
"Manningham","2006","2","15","30","37","1","11","25","0","17","36.4324","1.2667","-37.7807813639755","145.15160960221695","17.19068694152819","15/02/2006","14"
"Whitehorse","2006","2","25","47","69","1","24","36","0","31","38.8438","1.4000","-37.82689483136165","145.1532019947035","17.030373919231184","15/02/2006","12"
"Nillumbik","2006","2","6","8","10","0","5","4","0","7","41.1000","1.6667","-37.69034762261114","145.1611567984318","22.29762734091274","15/02/2006","-1"
"Greater Dandenong","2006","2","46","85","106","3","43","54","1","59","35.5700","1.4565","-37.97977386192108","145.18827337505","27.313798027871975","15/02/2006","11"
"Knox","2006","2","31","56","75","1","23","47","0","41","32.0694","1.2903","-37.883076595382235","145.26299226307862","27.719615963238567","15/02/2006","24"
"Maroondah","2006","2","24","42","57","0","23","33","0","31","29.6842","1.3750","-37.81094742296987","145.26562431013116","26.834882691075997","15/02/2006","10"
"Casey","2006","2","37","68","103","2","40","52","1","50","29.9200","1.4595","-38.05526993947197","145.28275761989698","39.094157077922375","15/02/2006","12"
"Greater Shepparton","2006","2","21","34","48","1","20","27","1","29","32.7660","1.4762","-36.38329326630156","145.3748157270813","163.13440339872272","15/02/2006","7"
"Bass Coast","2006","2","4","6","7","0","1","6","0","5","41.7143","1.2500","-38.451276488457985","145.42072512186184","81.6432020494149","15/02/2006","5"
"Strathbogie","2006","2","3","3","7","0","4","3","0","4","22.4286","1.0000","-36.841459717002174","145.43996967370882","116.0241695540617","15/02/2006","-1"
"Yarra Ranges","2006","2","57","92","133","3","43","82","1","74","30.5385","1.3333","-37.780752484786355","145.44565949356934","42.80556940442943","15/02/2006","39"
"Murrindindi","2006","2","10","15","21","0","6","15","0","15","36.1429","1.4000","-37.49791098977339","145.45736828823527","56.04089728309737","15/02/2006","9"
"Cardinia","2006","2","14","22","26","1","10","16","0","17","37.8462","1.5000","-38.01712926641854","145.50467862230755","52.90343156832798","15/02/2006","6"
"Moira","2006","2","4","8","11","0","2","9","2","7","39.8182","2.2500","-36.06590112568732","145.7865602154058","207.64824295639744","15/02/2006","7"
"South Gippsland","2006","2","10","17","24","0","12","11","0","13","34.6667","1.3000","-38.51224122334986","145.901728397225","113.26042594120744","15/02/2006","-1"
"Baw Baw","2006","2","12","15","19","0","4","13","1","17","26.5789","1.7500","-38.04212416313068","145.99766774486366","94.50884454148917","15/02/2006","9"
"Benalla","2006","2","4","5","6","1","1","5","1","4","53.1667","1.7500","-36.5286135548039","146.02579996410861","171.17059345915678","15/02/2006","4"
"Mansfield","2006","2","4","5","7","0","1","6","0","4","37.5714","1.5000","-37.051945672933826","146.06288228881425","128.97457891593513","15/02/2006","5"
"Wangaratta","2006","2","10","13","17","0","6","11","0","10","27.5882","1.5000","-36.519213661752374","146.32699769963978","188.02083364497014","15/02/2006","5"
"Latrobe","2006","2","8","10","13","0","5","6","1","8","44.2500","1.7500","-38.218622299746585","146.42407087314348","135.95624671682103","15/02/2006","1"
"Indigo","2006","2","4","5","5","1","2","3","0","4","31.0000","1.5000","-36.222034352767075","146.73300238275158","236.7523079196894","15/02/2006","1"
"Wodonga","2006","2","11","22","40","1","23","16","0","13","28.1500","1.4545","-36.12943361017594","146.87904770991028","253.1476234485967","15/02/2006","-7"
"Wellington","2006","2","13","17","27","1","11","15","1","22","19.8889","1.6923","-38.019678612620936","146.94061724377985","175.24670592000913","15/02/2006","4"
"Alpine","2006","2","9","11","20","0","7","12","0","10","39.3684","1.4444","-36.738959983015576","146.96807137386895","214.04087796485652","15/02/2006","5"
"Towong","2006","2","1","1","1","0","0","1","0","1","43.0000","1.0000","-36.46292644270714","147.24425585317582","252.0137871217309","15/02/2006","1"
"East Gippsland","2006","2","13","16","26","0","10","14","0","19","37.8333","1.6923","-37.694243947385736","147.88812191192966","257.7422499398651","15/02/2006","4"
"West Wimmera","2006","3","4","5","7","0","2","5","1","5","41.7143","2.0000","-36.849300178977124","141.14955974230855","353.50496075207235","15/03/2006","3"
"Glenelg","2006","3","4","6","7","0","0","7","0","4","30.7143","1.5000","-38.17127499800332","141.5685934141069","299.8568974990574","15/03/2006","7"
"Hindmarsh","2006","3","2","4","6","0","3","3","0","2","52.3333","1.0000","-36.19638723974149","141.83700434432225","330.441617415553","15/03/2006","0"
"Mildura","2006","3","12","17","27","1","6","19","0","14","36.8077","1.7500","-34.325159217242316","142.0702433620613","466.6794159074515","15/03/2006","13"
"Southern Grampians","2006","3","5","5","9","1","0","9","0","6","32.5556","1.6000","-37.585010193758514","142.14102492020157","249.30985573868907","15/03/2006","9"
"Horsham","2006","3","7","10","14","1","7","7","0","10","42.9286","1.4286","-36.687998817812236","142.20416713190068","274.10525337819377","15/03/2006","0"
"Yarriambiack","2006","3","4","5","10","0","5","2","1","3","28.6667","2.0000","-36.30129308647786","142.4233096934897","280.90466443719606","15/03/2006","-3"
"Moyne","2006","3","3","4","8","0","3","5","0","4","47.2500","1.6667","-38.44408730465693","142.44871970763668","230.6126421213894","15/03/2006","2"
"Ararat","2006","3","2","5","3","0","2","1","0","2","41.3333","1.5000","-37.320760479362455","142.93394832746935","186.76911804274934","15/03/2006","-1"
"Northern Grampians","2006","3","7","8","10","0","2","8","1","8","46.7000","2.0000","-36.847943335531","142.96962183913666","206.10323724532978","15/03/2006","6"
"Corangamite","2006","3","2","3","6","0","2","3","0","4","50.2000","2.0000","-38.368222564624574","143.07406031578466","176.23917051375807","15/03/2006","1"
"Buloke","2006","3","2","2","2","0","0","2","0","2","35.5000","1.0000","-36.323558580326754","143.27170251789724","223.28095253849065","15/03/2006","2"
"Pyrenees","2006","3","2","2","2","0","2","0","0","2","53.0000","1.0000","-37.611394548840465","143.53919437474974","126.98214509977589","15/03/2006","-2"
"Swan Hill","2006","3","1","1","1","1","0","1","0","1","49.0000","2.0000","-35.344323301056036","143.54349229058016","302.20168933273794","15/03/2006","1"
"Colac-Otway","2006","3","9","13","25","0","11","14","0","16","29.2000","1.6667","-38.546576487337","143.6111056408629","143.40176880194102","15/03/2006","3"
"Central Goldfields","2006","3","2","2","2","0","1","1","0","2","54.0000","1.0000","-37.025048074810215","143.7340768279546","139.25917162892895","15/03/2006","0"
"Ballarat","2006","3","20","34","45","4","19","26","1","28","36.0667","1.6000","-37.565091218206376","143.85181741981754","101.33587666682786","15/03/2006","7"
"Loddon","2006","3","3","4","7","0","2","5","0","5","33.1429","1.6667","-36.45354403844119","143.94225208117243","176.0112121064751","15/03/2006","3"
"Hepburn","2006","3","2","2","2","0","1","1","0","2","33.5000","1.0000","-37.31474107422146","143.94995093686708","104.84876317147526","15/03/2006","0"
"Golden Plains","2006","3","4","6","9","0","5","3","0","8","34.5556","1.7500","-37.85937601411913","143.9649319252788","87.55323490640679","15/03/2006","-2"
"Gannawarra","2006","3","2","2","7","0","5","2","0","7","21.1429","2.0000","-35.629519498404704","144.09208972651413","254.77928541729065","15/03/2006","-3"
"Moorabool","2006","3","5","8","10","0","6","4","1","7","38.7000","2.0000","-37.60209506123092","144.11297436027212","78.1181530145489","15/03/2006","-2"
"Surf Coast","2006","3","7","11","19","0","8","11","1","8","26.6316","1.4286","-38.42989809351801","144.12108122032004","100.49086358329724","15/03/2006","3"
"Mount Alexander","2006","3","5","6","12","0","4","8","0","9","18.4167","1.4000","-37.04768919038366","144.21932294595177","107.30276411528979","15/03/2006","4"
"Greater Bendigo","2006","3","21","34","57","2","17","30","0","33","28.2500","1.5238","-36.774791969584236","144.29508210773957","129.53334794465738","15/03/2006","13"
"Greater Geelong","2006","3","47","84","113","2","35","65","0","56","34.5849","1.4681","-38.13090486483008","144.35303144752146","63.91118329333402","15/03/2006","30"
"Macedon Ranges","2006","3","11","13","14","0","3","11","0","11","39.2143","1.6364","-37.38399879123699","144.55583559781033","59.50252302176203","15/03/2006","8"
"Melton","2006","3","12","22","29","0","9","18","0","19","35.9310","1.7500","-37.724033329238736","144.65417989936674","28.64298567202845","15/03/2006","9"
"Wyndham","2006","3","25","44","77","3","34","37","0","43","27.5455","1.6800","-37.871386559292475","144.68999386512107","24.60656531048579","15/03/2006","3"
"Campaspe","2006","3","11","18","29","2","5","21","1","20","30.7778","1.7273","-36.266741781171966","144.76945882016793","172.726874747479","15/03/2006","16"
"Brimbank","2006","3","31","58","80","1","28","41","0","39","27.8684","1.4516","-37.75386340514517","144.79906733222865","15.592609248824733","15/03/2006","13"
"Hobsons Bay","2006","3","14","26","33","0","13","17","2","16","36.3438","1.5000","-37.848066820003666","144.83546781134945","11.638139902666271","15/03/2006","4"
"Hume","2006","3","20","39","55","1","20","32","0","33","33.3455","1.5000","-37.629663264644925","144.875274315706","21.67234503510815","15/03/2006","12"
"Maribyrnong","2006","3","12","24","29","3","12","14","1","13","40.3214","1.7500","-37.79457625278988","144.87548294361113","7.705705864758663","15/03/2006","2"
"Moonee Valley","2006","3","21","46","72","2","34","36","0","24","33.4648","1.2857","-37.745566810801016","144.90268367460106","9.00750625100198","15/03/2006","2"
"Moreland","2006","3","38","75","118","4","53","54","0","56","33.4545","1.4211","-37.74099189949902","144.95105679501032","8.006616127568401","15/03/2006","1"
"Melbourne","2006","3","82","152","231","21","67","132","0","99","31.7650","1.4268","-37.81089731175836","144.9611856244403","0.2133975722984712","15/03/2006","65"
"Port Phillip","2006","3","31","57","76","5","22","37","0","37","31.1429","1.4516","-37.8551345384574","144.97675354065214","4.945143244325992","15/03/2006","15"
