"point_name","point_value","acc_lat","acc_long","grid_fromlat","grid_fromlong","grid_tolat","grid_tolong"
"(FALLS CREEK)","9","-36.86302980219528","147.2773343596298","-36.8515625","147.2578125","-36.890625","147.328125"
"(FRENCH ISLAND)","1","-38.3896857027807","145.34912538499438","-38.375","145.2890625","-38.4140625","145.359375"
"(LAKE MOUNTAIN)","8","-37.51268397032527","145.86543342209396","-37.4765625","145.8515625","-37.515625","145.921875"
"(MOUNT BAW BAW)","6","-37.844636523872026","146.250942134055","-37.828125","146.203125","-37.8671875","146.2734375"
"(MOUNT BULLER)","13","-37.13675956321247","146.44839196795948","-37.125","146.4140625","-37.1640625","146.484375"
"(MOUNT HOTHAM)","29","-36.98762159040454","147.1228617648123","-36.96875","147.1171875","-37.0078125","147.1875"
"(MOUNT STIRLING)","1","-37.13948038697457","146.48239045153971","-37.125","146.4140625","-37.1640625","146.484375"
"ALPINE","402","-36.71896688683586","146.95013096384034","-36.6953125","146.90625","-36.734375","146.9765625"
"ARARAT","210","-37.36530443621945","142.91709911397248","-37.359375","142.8984375","-37.3984375","142.96875"
"BALLARAT","1824","-37.56005285231909","143.84364526405085","-37.5546875","143.8125","-37.59375","143.8828125"
"BANYULE","1647","-37.732130784167495","145.07562265690203","-37.7109375","145.0078125","-37.75","145.078125"
"BASS COAST","578","-38.51346270560021","145.49547928067508","-38.4921875","145.4296875","-38.53125","145.5"
"BAW BAW","1223","-38.08287272672401","146.01433103240612","-38.0625","145.9921875","-38.1015625","146.0625"
"BAYSIDE","1504","-37.93197843417946","145.0134404636477","-37.90625","145.0078125","-37.9453125","145.078125"
"BENALLA","299","-36.57092545416946","145.99480242752037","-36.5390625","145.9921875","-36.578125","146.0625"
"BENDIGO","1880","-36.76604733588083","144.30625605873112","-36.734375","144.3046875","-36.7734375","144.375"
"BOROONDARA","2892","-37.82053178789693","145.06013344512633","-37.7890625","145.0078125","-37.828125","145.078125"
"BRIMBANK","3163","-37.754745662078605","144.80746803393322","-37.75","144.796875","-37.7890625","144.8671875"
"BULOKE","109","-35.99871386581648","143.06761406423132","-35.9921875","143.0390625","-36.03125","143.109375"
"CAMPASPE","662","-36.27376439601604","144.8119967859651","-36.265625","144.796875","-36.3046875","144.8671875"
"CARDINIA","1496","-38.051761457579616","145.50181628435732","-38.0234375","145.5","-38.0625","145.5703125"
"CASEY","3960","-38.049973336585815","145.28707770072393","-38.0234375","145.21875","-38.0625","145.2890625"
"CENTRAL GOLDFIELDS","239","-37.03809342548478","143.7396000237518","-37.0078125","143.671875","-37.046875","143.7421875"
"COLAC OTWAY","581","-38.5121190127228","143.59921855402828","-38.4921875","143.53125","-38.53125","143.6015625"
"CORANGAMITE","348","-38.32727828902724","143.1051205670944","-38.296875","143.0390625","-38.3359375","143.109375"
"DANDENONG","3600","-37.9796768201202","145.1900444370006","-37.9453125","145.1484375","-37.984375","145.21875"
"DAREBIN","2571","-37.74147879760858","145.00912407730792","-37.7109375","145.0078125","-37.75","145.078125"
"EAST GIPPSLAND","1034","-37.649660595981565","148.0408481225559","-37.6328125","148.03125","-37.671875","148.1015625"
"FRANKSTON","2099","-38.13572768226124","145.1517373556042","-38.1015625","145.1484375","-38.140625","145.21875"
"GANNAWARRA","202","-35.74676429585923","143.97875036253797","-35.71875","143.953125","-35.7578125","144.0234375"
"GEELONG","3407","-38.14302872212968","144.3794170615027","-38.140625","144.375","-38.1796875","144.4453125"
"GLEN EIRA","2221","-37.89679402818102","145.0395842412472","-37.8671875","145.0078125","-37.90625","145.078125"
"GLENELG","365","-38.12333824801629","141.51027762884306","-38.1015625","141.4921875","-38.140625","141.5625"
"GOLDEN PLAINS","341","-37.84767956819384","143.92315606913297","-37.828125","143.8828125","-37.8671875","143.953125"
"HEPBURN","325","-37.34009636213845","144.07038327032313","-37.3203125","144.0234375","-37.359375","144.09375"
"HINDMARSH","101","-36.26590482071162","141.8457630579358","-36.265625","141.84375","-36.3046875","141.9140625"
"HOBSONS BAY","1321","-37.84808859109316","144.83357290371495","-37.828125","144.796875","-37.8671875","144.8671875"
"HORSHAM","343","-36.73107586116851","142.1992319699072","-36.6953125","142.1953125","-36.734375","142.265625"
"HUME","2762","-37.64487907374726","144.8903232361376","-37.6328125","144.8671875","-37.671875","144.9375"
"INDIGO","294","-36.212392693270274","146.70693158224998","-36.1875","146.6953125","-36.2265625","146.765625"
"KINGSTON","2597","-37.98673969876487","145.0938735182459","-37.984375","145.078125","-38.0234375","145.1484375"
"KNOX","2380","-37.882151904359915","145.25836986721538","-37.8671875","145.21875","-37.90625","145.2890625"
"LATROBE","1242","-38.22097059504007","146.4258766556483","-38.21875","146.4140625","-38.2578125","146.484375"
"LODDON","217","-36.46601400189692","143.86327938676249","-36.4609375","143.8125","-36.5","143.8828125"
"MACEDON RANGES","707","-37.36581585830889","144.59255439731413","-37.359375","144.5859375","-37.3984375","144.65625"
"MANNINGHAM","1357","-37.77451285424986","145.15305248891391","-37.75","145.1484375","-37.7890625","145.21875"
"MANSFIELD","400","-37.14210978656096","146.1014222499394","-37.125","146.0625","-37.1640625","146.1328125"
