"point_name","point_value","acc_lat","acc_long","grid_fromlat","grid_fromlong","grid_tolat","grid_tolong"
"(FALLS CREEK)","9","-36.86302980219528","147.2773343596298","-34","141","-39","150"
"(FRENCH ISLAND)","1","-38.3896857027807","145.34912538499438","-34","141","-39","150"
"(LAKE MOUNTAIN)","8","-37.51268397032527","145.86543342209396","-34","141","-39","150"
"(MOUNT BAW BAW)","6","-37.844636523872026","146.250942134055","-34","141","-39","150"
"(MOUNT BULLER)","13","-37.13675956321247","146.44839196795948","-34","141","-39","150"
"(MOUNT HOTHAM)","29","-36.98762159040454","147.1228617648123","-34","141","-39","150"
"(MOUNT STIRLING)","1","-37.13948038697457","146.48239045153971","-34","141","-39","150"
"ALPINE","402","-36.71896688683586","146.95013096384034","-34","141","-39","150"
"ARARAT","210","-37.36530443621945","142.91709911397248","-34","141","-39","150"
"BALLARAT","1824","-37.56005285231909","143.84364526405085","-34","141","-39","150"
"BANYULE","1647","-37.732130784167495","145.07562265690203","-34","141","-39","150"
"BASS COAST","578","-38.51346270560021","145.49547928067508","-34","141","-39","150"
"BAW BAW","1223","-38.08287272672401","146.01433103240612","-34","141","-39","150"
"BAYSIDE","1504","-37.93197843417946","145.0134404636477","-34","141","-39","150"
"BENALLA","299","-36.57092545416946","145.99480242752037","-34","141","-39","150"
"BENDIGO","1880","-36.76604733588083","144.30625605873112","-34","141","-39","150"
"BOROONDARA","2892","-37.82053178789693","145.06013344512633","-34","141","-39","150"
"BRIMBANK","3163","-37.754745662078605","144.80746803393322","-34","141","-39","150"
"BULOKE","109","-35.99871386581648","143.06761406423132","-34","141","-39","150"
"CAMPASPE","662","-36.27376439601604","144.8119967859651","-34","141","-39","150"
"CARDINIA","1496","-38.051761457579616","145.50181628435732","-34","141","-39","150"
"CASEY","3960","-38.049973336585815","145.28707770072393","-34","141","-39","150"
"CENTRAL GOLDFIELDS","239","-37.03809342548478","143.7396000237518","-34","141","-39","150"
"COLAC OTWAY","581","-38.5121190127228","143.59921855402828","-34","141","-39","150"
"CORANGAMITE","348","-38.32727828902724","143.1051205670944","-34","141","-39","150"
"DANDENONG","3600","-37.9796768201202","145.1900444370006","-34","141","-39","150"
"DAREBIN","2571","-37.74147879760858","145.00912407730792","-34","141","-39","150"
"EAST GIPPSLAND","1034","-37.649660595981565","148.0408481225559","-34","141","-39","150"
"FRANKSTON","2099","-38.13572768226124","145.1517373556042","-34","141","-39","150"
"GANNAWARRA","202","-35.74676429585923","143.97875036253797","-34","141","-39","150"
"GEELONG","3407","-38.14302872212968","144.3794170615027","-34","141","-39","150"
"GLEN EIRA","2221","-37.89679402818102","145.0395842412472","-34","141","-39","150"
"GLENELG","365","-38.12333824801629","141.51027762884306","-34","141","-39","150"
"GOLDEN PLAINS","341","-37.84767956819384","143.92315606913297","-34","141","-39","150"
"HEPBURN","325","-37.34009636213845","144.07038327032313","-34","141","-39","150"
"HINDMARSH","101","-36.26590482071162","141.8457630579358","-34","141","-39","150"
"HOBSONS BAY","1321","-37.84808859109316","144.83357290371495","-34","141","-39","150"
"HORSHAM","343","-36.73107586116851","142.1992319699072","-34","141","-39","150"
"HUME","2762","-37.64487907374726","144.8903232361376","-34","141","-39","150"
"INDIGO","294","-36.212392693270274","146.70693158224998","-34","141","-39","150"
"KINGSTON","2597","-37.98673969876487","145.0938735182459","-34","141","-39","150"
"KNOX","2380","-37.882151904359915","145.25836986721538","-34","141","-39","150"
"LATROBE","1242","-38.22097059504007","146.4258766556483","-34","141","-39","150"
"LODDON","217","-36.46601400189692","143.86327938676249","-34","141","-39","150"
"MACEDON RANGES","707","-37.36581585830889","144.59255439731413","-34","141","-39","150"
"MANNINGHAM","1357","-37.77451285424986","145.15305248891391","-34","141","-39","150"
"MANSFIELD","400","-37.14210978656096","146.1014222499394","-34","141","-39","150"
"MARIBYRNONG","1410","-37.79696343952193","144.88341239031104","-34","141","-39","150"
"MAROONDAH","1726","-37.80970239373835","145.25957308021918","-34","141","-39","150"
"MELBOURNE","6253","-37.812636779204446","144.96015942581576","-34","141","-39","150"
"MELTON","1310","-37.70762005838174","144.65349344484935","-34","141","-39","150"
"MILDURA","852","-34.33114843417987","142.0963718375806","-34","141","-39","150"
"MITCHELL","844","-37.2304910715556","145.03620672327713","-34","141","-39","150"
"MOIRA","491","-36.02182777740445","145.59162116056513","-34","141","-39","150"
"MONASH","2962","-37.89670238392402","145.1367800593297","-34","141","-39","150"
"MOONEE VALLEY","1643","-37.75318577949715","144.90554316400613","-34","141","-39","150"
"MOORABOOL","610","-37.63053920164565","144.29467383641637","-34","141","-39","150"
"MORELAND","3017","-37.7409403898932","144.95272477814652","-34","141","-39","150"
"MORNINGTON PENINSULA","2487","-38.301619031259804","145.0255331956954","-34","141","-39","150"
"MOUNT ALEXANDER","371","-37.058944609399454","144.21425810899223","-34","141","-39","150"
"MOYNE","327","-38.25432589800899","142.47395324211618","-34","141","-39","150"
"MURRINDINDI","737","-37.37038416296409","145.53601364054683","-34","141","-39","150"
"NILLUMBIK","763","-37.66685743437097","145.1825369968651","-34","141","-39","150"
"NORTHERN GRAMPIANS","248","-36.96288446930526","142.8082959915274","-34","141","-39","150"
"PORT PHILLIP","2224","-37.85285529872358","144.97124367338765","-34","141","-39","150"
"PYRENEES","208","-37.38710555755146","143.42955468631826","-34","141","-39","150"
"QUEENSCLIFFE","21","-38.27487711018904","144.6305520363307","-34","141","-39","150"
"SHEPPARTON","1262","-36.39539731083875","145.38113447215233","-34","141","-39","150"
"SOUTH GIPPSLAND","713","-38.50618358047137","145.97571780706463","-34","141","-39","150"
"SOUTHERN GRAMPIANS","277","-37.667222941113955","142.03877591117757","-34","141","-39","150"
"STONNINGTON","2291","-37.85522099268743","145.024716071335","-34","141","-39","150"
"STRATHBOGIE","365","-36.7781880023893","145.41312617584825","-34","141","-39","150"
"SURF COAST","572","-38.364820881143196","144.12653672618984","-34","141","-39","150"
"SWAN HILL","294","-35.1673556327279","143.3378941800896","-34","141","-39","150"
"TOWONG","213","-36.260506955577775","147.45241712919727","-34","141","-39","150"
"WANGARATTA","501","-36.44036041079488","146.3616750589931","-34","141","-39","150"
"WARRNAMBOOL","439","-38.376989409962626","142.4878623495957","-34","141","-39","150"
"WELLINGTON","939","-38.0633186518733","146.94070002363168","-34","141","-39","150"
"WEST WIMMERA","101","-36.77053492086706","141.32873597008094","-34","141","-39","150"
"WHITEHORSE","2183","-37.82781992260051","145.15072765246845","-34","141","-39","150"
"WHITTLESEA","2157","-37.64696023420428","145.04447222534742","-34","141","-39","150"
"WODONGA","495","-36.12655623107429","146.88324609679464","-34","141","-39","150"
"WYNDHAM","1951","-37.87266249104901","144.69704854931211","-34","141","-39","150"
"YARRA","2432","-37.80475800644144","144.99139499939486","-34","141","-39","150"
"YARRA RANGES","2917","-37.78603536928094","145.4352519299433","-34","141","-39","150"
"YARRIAMBIACK","95","-36.1879362667021","142.43532148061024","-34","141","-39","150"
