"point_name","point_value","acc_lat","acc_long","grid_fromlat","grid_fromlong","grid_tolat","grid_tolong"
"(FALLS CREEK)","9","-36.86302980219528","147.2773343596298","-36.861328125","147.275390625","-36.87109375","147.29296875"
"(FRENCH ISLAND)","1","-38.3896857027807","145.34912538499438","-38.384765625","145.341796875","-38.39453125","145.359375"
"(LAKE MOUNTAIN)","8","-37.51268397032527","145.86543342209396","-37.505859375","145.8515625","-37.515625","145.869140625"
"(MOUNT BAW BAW)","6","-37.844636523872026","146.250942134055","-37.837890625","146.23828125","-37.84765625","146.255859375"
"(MOUNT BULLER)","13","-37.13675956321247","146.44839196795948","-37.134765625","146.431640625","-37.14453125","146.44921875"
"(MOUNT HOTHAM)","29","-36.98762159040454","147.1228617648123","-36.978515625","147.1171875","-36.98828125","147.134765625"
"(MOUNT STIRLING)","1","-37.13948038697457","146.48239045153971","-37.134765625","146.466796875","-37.14453125","146.484375"
"ALPINE","402","-36.71896688683586","146.95013096384034","-36.71484375","146.94140625","-36.724609375","146.958984375"
"ARARAT","210","-37.36530443621945","142.91709911397248","-37.359375","142.916015625","-37.369140625","142.93359375"
"BALLARAT","1824","-37.56005285231909","143.84364526405085","-37.5546875","143.830078125","-37.564453125","143.84765625"
"BANYULE","1647","-37.732130784167495","145.07562265690203","-37.73046875","145.060546875","-37.740234375","145.078125"
"BASS COAST","578","-38.51346270560021","145.49547928067508","-38.51171875","145.482421875","-38.521484375","145.5"
"BAW BAW","1223","-38.08287272672401","146.01433103240612","-38.08203125","146.009765625","-38.091796875","146.02734375"
"BAYSIDE","1504","-37.93197843417946","145.0134404636477","-37.92578125","145.0078125","-37.935546875","145.025390625"
"BENALLA","299","-36.57092545416946","145.99480242752037","-36.568359375","145.9921875","-36.578125","146.009765625"
"BENDIGO","1880","-36.76604733588083","144.30625605873112","-36.763671875","144.3046875","-36.7734375","144.322265625"
"BOROONDARA","2892","-37.82053178789693","145.06013344512633","-37.818359375","145.04296875","-37.828125","145.060546875"
"BRIMBANK","3163","-37.754745662078605","144.80746803393322","-37.75","144.796875","-37.759765625","144.814453125"
"BULOKE","109","-35.99871386581648","143.06761406423132","-35.9921875","143.056640625","-36.001953125","143.07421875"
"CAMPASPE","662","-36.27376439601604","144.8119967859651","-36.265625","144.796875","-36.275390625","144.814453125"
"CARDINIA","1496","-38.051761457579616","145.50181628435732","-38.04296875","145.5","-38.052734375","145.517578125"
"CASEY","3960","-38.049973336585815","145.28707770072393","-38.04296875","145.271484375","-38.052734375","145.2890625"
"CENTRAL GOLDFIELDS","239","-37.03809342548478","143.7396000237518","-37.037109375","143.724609375","-37.046875","143.7421875"
"COLAC OTWAY","581","-38.5121190127228","143.59921855402828","-38.51171875","143.583984375","-38.521484375","143.6015625"
"CORANGAMITE","348","-38.32727828902724","143.1051205670944","-38.326171875","143.091796875","-38.3359375","143.109375"
