"point_name","point_value","acc_lat","acc_long","grid_fromlat","grid_fromlong","grid_tolat","grid_tolong"
"(FALLS CREEK)","9","-36.86302980219528","147.2773343596298","-36.8125","147.1875","-37.125","147.75"
"(FRENCH ISLAND)","1","-38.3896857027807","145.34912538499438","-38.375","144.9375","-38.6875","145.5"
"(LAKE MOUNTAIN)","8","-37.51268397032527","145.86543342209396","-37.4375","145.5","-37.75","146.0625"
"(MOUNT BAW BAW)","6","-37.844636523872026","146.250942134055","-37.75","146.0625","-38.0625","146.625"
"(MOUNT BULLER)","13","-37.13675956321247","146.44839196795948","-37.125","146.0625","-37.4375","146.625"
"(MOUNT HOTHAM)","29","-36.98762159040454","147.1228617648123","-36.8125","146.625","-37.125","147.1875"
"(MOUNT STIRLING)","1","-37.13948038697457","146.48239045153971","-37.125","146.0625","-37.4375","146.625"
"ALPINE","402","-36.71896688683586","146.95013096384034","-36.5","146.625","-36.8125","147.1875"
"ARARAT","210","-37.36530443621945","142.91709911397248","-37.125","142.6875","-37.4375","143.25"
"BALLARAT","1824","-37.56005285231909","143.84364526405085","-37.4375","143.8125","-37.75","144.375"
"BANYULE","1647","-37.732130784167495","145.07562265690203","-37.4375","144.9375","-37.75","145.5"
"BASS COAST","578","-38.51346270560021","145.49547928067508","-38.375","144.9375","-38.6875","145.5"
"BAW BAW","1223","-38.08287272672401","146.01433103240612","-38.0625","145.5","-38.375","146.0625"
"BAYSIDE","1504","-37.93197843417946","145.0134404636477","-37.75","144.9375","-38.0625","145.5"
"BENALLA","299","-36.57092545416946","145.99480242752037","-36.5","145.5","-36.8125","146.0625"
"BENDIGO","1880","-36.76604733588083","144.30625605873112","-36.5","143.8125","-36.8125","144.375"
"BOROONDARA","2892","-37.82053178789693","145.06013344512633","-37.75","144.9375","-38.0625","145.5"
"BRIMBANK","3163","-37.754745662078605","144.80746803393322","-37.75","144.375","-38.0625","144.9375"
"BULOKE","109","-35.99871386581648","143.06761406423132","-35.875","142.6875","-36.1875","143.25"
"CAMPASPE","662","-36.27376439601604","144.8119967859651","-36.1875","144.375","-36.5","144.9375"
"CARDINIA","1496","-38.051761457579616","145.50181628435732","-37.75","145.5","-38.0625","146.0625"
"CASEY","3960","-38.049973336585815","145.28707770072393","-37.75","144.9375","-38.0625","145.5"
"CENTRAL GOLDFIELDS","239","-37.03809342548478","143.7396000237518","-36.8125","143.25","-37.125","143.8125"
"COLAC OTWAY","581","-38.5121190127228","143.59921855402828","-38.375","143.25","-38.6875","143.8125"
"CORANGAMITE","348","-38.32727828902724","143.1051205670944","-38.0625","142.6875","-38.375","143.25"
"DANDENONG","3600","-37.9796768201202","145.1900444370006","-37.75","144.9375","-38.0625","145.5"
"DAREBIN","2571","-37.74147879760858","145.00912407730792","-37.4375","144.9375","-37.75","145.5"
"EAST GIPPSLAND","1034","-37.649660595981565","148.0408481225559","-37.4375","147.75","-37.75","148.3125"
"FRANKSTON","2099","-38.13572768226124","145.1517373556042","-38.0625","144.9375","-38.375","145.5"
"GANNAWARRA","202","-35.74676429585923","143.97875036253797","-35.5625","143.8125","-35.875","144.375"
"GEELONG","3407","-38.14302872212968","144.3794170615027","-38.0625","144.375","-38.375","144.9375"
"GLEN EIRA","2221","-37.89679402818102","145.0395842412472","-37.75","144.9375","-38.0625","145.5"
"GLENELG","365","-38.12333824801629","141.51027762884306","-38.0625","141","-38.375","141.5625"
"GOLDEN PLAINS","341","-37.84767956819384","143.92315606913297","-37.75","143.8125","-38.0625","144.375"
"HEPBURN","325","-37.34009636213845","144.07038327032313","-37.125","143.8125","-37.4375","144.375"
"HINDMARSH","101","-36.26590482071162","141.8457630579358","-36.1875","141.5625","-36.5","142.125"
"HOBSONS BAY","1321","-37.84808859109316","144.83357290371495","-37.75","144.375","-38.0625","144.9375"
"HORSHAM","343","-36.73107586116851","142.1992319699072","-36.5","142.125","-36.8125","142.6875"
"HUME","2762","-37.64487907374726","144.8903232361376","-37.4375","144.375","-37.75","144.9375"
"INDIGO","294","-36.212392693270274","146.70693158224998","-36.1875","146.625","-36.5","147.1875"
"KINGSTON","2597","-37.98673969876487","145.0938735182459","-37.75","144.9375","-38.0625","145.5"
"KNOX","2380","-37.882151904359915","145.25836986721538","-37.75","144.9375","-38.0625","145.5"
"LATROBE","1242","-38.22097059504007","146.4258766556483","-38.0625","146.0625","-38.375","146.625"
"LODDON","217","-36.46601400189692","143.86327938676249","-36.1875","143.8125","-36.5","144.375"
"MACEDON RANGES","707","-37.36581585830889","144.59255439731413","-37.125","144.375","-37.4375","144.9375"
"MANNINGHAM","1357","-37.77451285424986","145.15305248891391","-37.75","144.9375","-38.0625","145.5"
"MANSFIELD","400","-37.14210978656096","146.1014222499394","-37.125","146.0625","-37.4375","146.625"
"MARIBYRNONG","1410","-37.79696343952193","144.88341239031104","-37.75","144.375","-38.0625","144.9375"
"MAROONDAH","1726","-37.80970239373835","145.25957308021918","-37.75","144.9375","-38.0625","145.5"
"MELBOURNE","6253","-37.812636779204446","144.96015942581576","-37.75","144.9375","-38.0625","145.5"
"MELTON","1310","-37.70762005838174","144.65349344484935","-37.4375","144.375","-37.75","144.9375"
"MILDURA","852","-34.33114843417987","142.0963718375806","-34.3125","141.5625","-34.625","142.125"
"MITCHELL","844","-37.2304910715556","145.03620672327713","-37.125","144.9375","-37.4375","145.5"
"MOIRA","491","-36.02182777740445","145.59162116056513","-35.875","145.5","-36.1875","146.0625"
"MONASH","2962","-37.89670238392402","145.1367800593297","-37.75","144.9375","-38.0625","145.5"
"MOONEE VALLEY","1643","-37.75318577949715","144.90554316400613","-37.75","144.375","-38.0625","144.9375"
"MOORABOOL","610","-37.63053920164565","144.29467383641637","-37.4375","143.8125","-37.75","144.375"
"MORELAND","3017","-37.7409403898932","144.95272477814652","-37.4375","144.9375","-37.75","145.5"
"MORNINGTON PENINSULA","2487","-38.301619031259804","145.0255331956954","-38.0625","144.9375","-38.375","145.5"
"MOUNT ALEXANDER","371","-37.058944609399454","144.21425810899223","-36.8125","143.8125","-37.125","144.375"
"MOYNE","327","-38.25432589800899","142.47395324211618","-38.0625","142.125","-38.375","142.6875"
"MURRINDINDI","737","-37.37038416296409","145.53601364054683","-37.125","145.5","-37.4375","146.0625"
"NILLUMBIK","763","-37.66685743437097","145.1825369968651","-37.4375","144.9375","-37.75","145.5"
"NORTHERN GRAMPIANS","248","-36.96288446930526","142.8082959915274","-36.8125","142.6875","-37.125","143.25"
"PORT PHILLIP","2224","-37.85285529872358","144.97124367338765","-37.75","144.9375","-38.0625","145.5"
"PYRENEES","208","-37.38710555755146","143.42955468631826","-37.125","143.25","-37.4375","143.8125"
"QUEENSCLIFFE","21","-38.27487711018904","144.6305520363307","-38.0625","144.375","-38.375","144.9375"
"SHEPPARTON","1262","-36.39539731083875","145.38113447215233","-36.1875","144.9375","-36.5","145.5"
"SOUTH GIPPSLAND","713","-38.50618358047137","145.97571780706463","-38.375","145.5","-38.6875","146.0625"
"SOUTHERN GRAMPIANS","277","-37.667222941113955","142.03877591117757","-37.4375","141.5625","-37.75","142.125"
"STONNINGTON","2291","-37.85522099268743","145.024716071335","-37.75","144.9375","-38.0625","145.5"
"STRATHBOGIE","365","-36.7781880023893","145.41312617584825","-36.5","144.9375","-36.8125","145.5"
"SURF COAST","572","-38.364820881143196","144.12653672618984","-38.0625","143.8125","-38.375","144.375"
"SWAN HILL","294","-35.1673556327279","143.3378941800896","-34.9375","143.25","-35.25","143.8125"
"TOWONG","213","-36.260506955577775","147.45241712919727","-36.1875","147.1875","-36.5","147.75"
"WANGARATTA","501","-36.44036041079488","146.3616750589931","-36.1875","146.0625","-36.5","146.625"
"WARRNAMBOOL","439","-38.376989409962626","142.4878623495957","-38.375","142.125","-38.6875","142.6875"
"WELLINGTON","939","-38.0633186518733","146.94070002363168","-38.0625","146.625","-38.375","147.1875"
"WEST WIMMERA","101","-36.77053492086706","141.32873597008094","-36.5","141","-36.8125","141.5625"
"WHITEHORSE","2183","-37.82781992260051","145.15072765246845","-37.75","144.9375","-38.0625","145.5"
"WHITTLESEA","2157","-37.64696023420428","145.04447222534742","-37.4375","144.9375","-37.75","145.5"
"WODONGA","495","-36.12655623107429","146.88324609679464","-35.875","146.625","-36.1875","147.1875"
"WYNDHAM","1951","-37.87266249104901","144.69704854931211","-37.75","144.375","-38.0625","144.9375"
"YARRA","2432","-37.80475800644144","144.99139499939486","-37.75","144.9375","-38.0625","145.5"
"YARRA RANGES","2917","-37.78603536928094","145.4352519299433","-37.75","144.9375","-38.0625","145.5"
"YARRIAMBIACK","95","-36.1879362667021","142.43532148061024","-36.1875","142.125","-36.5","142.6875"
