"point_name","point_value","acc_lat","acc_long","grid_fromlat","grid_fromlong","grid_tolat","grid_tolong"
"Severity","24","-37.857596459634564","144.88510089142125","-37.855","144.88","-37.86","144.889375"
"Severity","79","-37.857984452409084","144.8949733801458","-37.855","144.889375","-37.86","144.89875"
"Severity","25","-37.859251118549444","144.9012799301665","-37.855","144.89875","-37.86","144.908125"
"Severity","2","-37.85561806449368","144.96421332809595","-37.855","144.95499999999998","-37.86","144.964375"
"Severity","92","-37.85773073805078","144.96917535627813","-37.855","144.964375","-37.86","144.97375"
"Severity","300","-37.858167253768485","144.98019758610258","-37.855","144.97375","-37.86","144.983125"
"Severity","316","-37.8569915911694","144.98759429398","-37.855","144.983125","-37.86","144.9925"
"Severity","201","-37.858304946018094","144.99832132217517","-37.855","144.9925","-37.86","145.001875"
"Severity","61","-37.85852210193586","145.00630783464948","-37.855","145.001875","-37.86","145.01125000000002"
"Severity","53","-37.85679316373905","145.01904661910783","-37.855","145.01125","-37.86","145.020625"
"Severity","86","-37.85686177543744","145.0262921873958","-37.855","145.020625","-37.86","145.03"
"Severity","8","-37.85205078468763","144.88677377643924","-37.85","144.88","-37.855000000000004","144.889375"
"Severity","11","-37.852399044504985","144.8926826471583","-37.85","144.889375","-37.855000000000004","144.89875"
"Severity","19","-37.85080865472896","144.95455760015898","-37.85","144.945625","-37.855000000000004","144.955"
"Severity","85","-37.85285909108481","144.9595865346698","-37.85","144.95499999999998","-37.855000000000004","144.964375"
"Severity","27","-37.85261146834255","144.96794220388102","-37.85","144.964375","-37.855000000000004","144.97375"
"Severity","272","-37.85186560949792","144.98026434488898","-37.85","144.97375","-37.855000000000004","144.983125"
"Severity","189","-37.85179504639777","144.98716325673954","-37.85","144.983125","-37.855000000000004","144.9925"
"Severity","276","-37.85244795823795","144.9948940908545","-37.85","144.9925","-37.855000000000004","145.001875"
"Severity","122","-37.85311745418","145.00398671933547","-37.85","145.001875","-37.855000000000004","145.01125000000002"
"Severity","73","-37.853100307532806","145.01457857150643","-37.85","145.01125","-37.855000000000004","145.020625"
"Severity","60","-37.85182423596659","145.02339511663087","-37.85","145.020625","-37.855000000000004","145.03"
"Severity","7","-37.84722259731566","144.8863454763534","-37.845","144.88","-37.85","144.889375"
"Severity","15","-37.84560606333398","144.89308824248474","-37.845","144.889375","-37.85","144.89875"
"Severity","13","-37.84568945441511","144.9439722561658","-37.845","144.93625","-37.85","144.945625"
"Severity","156","-37.84754604256494","144.9515021793974","-37.845","144.945625","-37.85","144.955"
"Severity","71","-37.8468423419067","144.95857043175798","-37.845","144.95499999999998","-37.85","144.964375"
"Severity","23","-37.8483383964797","144.96704268393447","-37.845","144.964375","-37.85","144.97375"
"Severity","191","-37.847046100185885","144.979177153759","-37.845","144.97375","-37.85","144.983125"
"Severity","237","-37.84686811351869","144.98694227318174","-37.845","144.983125","-37.85","144.9925"
"Severity","327","-37.84766408599125","144.99499846188448","-37.845","144.9925","-37.85","145.001875"
"Severity","140","-37.8482264194369","145.0048774086949","-37.845","145.001875","-37.85","145.01125000000002"
"Severity","64","-37.849333490723794","145.0130982100123","-37.845","145.01125","-37.85","145.020625"
"Severity","14","-37.84657351937107","145.02328240142302","-37.845","145.020625","-37.85","145.03"
"Severity","63","-37.842666630071335","144.88320756931645","-37.84","144.88","-37.845000000000006","144.889375"
"Severity","11","-37.84348025002567","144.89245715908868","-37.84","144.889375","-37.845000000000006","144.89875"
"Severity","3","-37.84028426232865","144.91252344420712","-37.84","144.90812499999998","-37.845000000000006","144.9175"
